file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000002,"File: 000002 | Title: Hearing to consider that the transfer of a Type 21 off-sale general alcoholic beverage control license from 2815 Diamond Street  to 3445 Geary Boulevard, and the issuance of a Type 42 on-sale beer and wine, public premises license on the same location to S.A. ""SAM"" Martin for Beverages, & More!, will serve the convenience of the people of the City and County of San Francisco. | Name: Liquor Licenses, 3445 Geary Boulevard | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Small Business, Economic Vitality and Consumer Services Committee","Hearing to consider that the transfer of a Type 21 off-sale general alcoholic beverage control license from 2815 Diamond Street  to 3445 Geary Boulevard, and the issuance of a Type 42 on-sale beer and wine, public premises license on the same location to S.A. ""SAM"" Martin for Beverages, & More!, will serve the convenience of the people of the City and County of San Francisco.",Hearing
000003,"File: 000003 | Title: Resolution authorizing San Francisco Public Library to accept and expend retroactively $1,200 awarded by the California Council for Humanities, to participate in the History Alive! Chautauqua Program, a part of California Sesquicentennial Project. | Name: Grant funds to be used by the Public Library to participate in the State's 150th anniversary celebration by providing free programming and multimedia materials on California history | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing San Francisco Public Library to accept and expend retroactively $1,200 awarded by the California Council for Humanities, to participate in the History Alive! Chautauqua Program, a part of California Sesquicentennial Project.",Resolution
000004,"File: 000004 | Title: Resolution authorizing the Executive Director of the Port of San Francisco to accept and expend $40,000 of State funds from the Metropolitan Transportation Commission for a public information program for the Downtown Ferry Terminal Project; and foregoing reimbursement of indirect costs. | Name: Grant funds from MTC for ""FASTFerry"" project to provide public information services that will maintain and enhance ridership during the Downtown Ferry Terminal construction | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing the Executive Director of the Port of San Francisco to accept and expend $40,000 of State funds from the Metropolitan Transportation Commission for a public information program for the Downtown Ferry Terminal Project; and foregoing reimbursement of indirect costs.",Resolution
000005,"File: 000005 | Title: Resolution authorizing San Francisco Public Library to accept and expend $6,546 to be awarded by the California State Library, Fiscal Year 1999-2000 Public Library Staff Education Program as part of the Federal Library Services and Technology Act (LSTA).  Funds will be used to reimburse tuition expenses of library employees pursuing a degree or certificate in library science at an institution of higher education.  Employees participating in the program applied to, and were selected by, the California State Library. | Name: Grant funds to reimburse tuition expenses of non-professional library employees pursuing a degree or certificate in library science at an institution of higher education | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing San Francisco Public Library to accept and expend $6,546 to be awarded by the California State Library, Fiscal Year 1999-2000 Public Library Staff Education Program as part of the Federal Library Services and Technology Act (LSTA).  Funds will be used to reimburse tuition expenses of library employees pursuing a degree or certificate in library science at an institution of higher education.  Employees participating in the program applied to, and were selected by, the California State Library.",Resolution
000006,"File: 000006 | Title: Resolution authorizing San Francisco Public Library to retroactively accept and expend $10,000 to be awarded by the California State Library, Youth Services Materials Grant, a part of the Federal Library Services and Technology Act, to purchase books in English and Chinese languages for young adult collections to be located in the North Beach and Chinatown Neighborhood branch libraries. | Name: Grant funds to  purchase English and Chinese language books and library materials for young adults in the North Beach and Chinatown branch libraries | Type: Resolution | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Resolution authorizing San Francisco Public Library to retroactively accept and expend $10,000 to be awarded by the California State Library, Youth Services Materials Grant, a part of the Federal Library Services and Technology Act, to purchase books in English and Chinese languages for young adult collections to be located in the North Beach and Chinatown Neighborhood branch libraries.",Resolution
000007,"File: 000007 | Title: Ordinance appropriating $2,918,024 of Safe Harbor Lease Revenue to provide funds for the completion of the 700 Pennsylvania facility capital project of the San Francisco Municipal Railways for fiscal year 1999-2000. | Name: Appropriation for the 700 Pennsylvania facility to house MUNI staff and shops that provide power/special machine maintenance (previously performed at 24th and Utah site) to insure safe transit service for 700,000 daily riders | Type: Ordinance | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Ordinance appropriating $2,918,024 of Safe Harbor Lease Revenue to provide funds for the completion of the 700 Pennsylvania facility capital project of the San Francisco Municipal Railways for fiscal year 1999-2000.",Ordinance
000008,"File: 000008 | Title: Ordinance amending Traffic Code by amending Section 3.6.1, regarding the Downtown Core boundaries. | Name: Amending Traffic Code  3.6.1 regarding  San Francisco Downtown Core, the area surrounded by and including  Washington, Stockton, 4th, and King Streets and The Embarcadero | Type: Ordinance | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors","Ordinance amending Traffic Code by amending Section 3.6.1, regarding the Downtown Core boundaries.",Ordinance
000009,"File: 000009 | Title: Hearing to procure a detailed profile of the 169 individuals that died homeless in San Francisco in 1999, including whether those individuals sought access to San Francisco's homeless shelters and/or access to San Francisco's drug, alcohol or mental health services. | Name: 1999 Deaths of Homeless San Franciscans | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board","Hearing to procure a detailed profile of the 169 individuals that died homeless in San Francisco in 1999, including whether those individuals sought access to San Francisco's homeless shelters and/or access to San Francisco's drug, alcohol or mental health services.",Hearing
000010,File: 000010 | Title: Hearing to determine the needs and challenges of community-based organizations that receive block grants or redevelopment funding. | Name: Community Based Organizations | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board,Hearing to determine the needs and challenges of community-based organizations that receive block grants or redevelopment funding.,Hearing
000013,"File: 000013 | Title: Hearing to consider whether to modify the conditions imposed on the conditional alcoholic beverage license for Thomas Campbell-Reed, dba Someplace Else, located at 1795 Geary Boulevard, in order to allow live entertainment on the premises, and to urge the Department of Alcoholic Beverage Control to modify conditions imposed upon Thomas Campbell-Reed's ABC license for Someplace Else to be consistent with the City's modification to his license. | Name: Liquor License Modification, 1795 Geary Boulevard | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Clerk of the Board","Hearing to consider whether to modify the conditions imposed on the conditional alcoholic beverage license for Thomas Campbell-Reed, dba Someplace Else, located at 1795 Geary Boulevard, in order to allow live entertainment on the premises, and to urge the Department of Alcoholic Beverage Control to modify conditions imposed upon Thomas Campbell-Reed's ABC license for Someplace Else to be consistent with the City's modification to his license.",Hearing
